Candidate ID=53076, InsertionTime=0.00907ns
Candidate ID=54031, InsertionTime=0.015115ns
Candidate ID=53225, InsertionTime=0.118334ns
Candidate ID=30489, InsertionTime=0.137691ns
Candidate ID=52220, InsertionTime=0.006288ns
Candidate ID=54127, InsertionTime=0.074063ns
Candidate ID=3502, InsertionTime=0.018704ns
Candidate ID=31148, InsertionTime=0.134895ns
Candidate ID=30588, InsertionTime=0.051111ns
Candidate ID=26568, InsertionTime=0.082521ns
Candidate ID=33109, InsertionTime=0.712604ns
Candidate ID=36182, InsertionTime=0.687967ns
Candidate ID=2360, InsertionTime=0.556642ns
Candidate ID=8881, InsertionTime=0.736069ns
Candidate ID=42189, InsertionTime=0.932656ns
Candidate ID=45972, InsertionTime=0.311277ns
Candidate ID=1626, InsertionTime=0.165421ns
Candidate ID=13701, InsertionTime=0.063003ns
Candidate ID=48508, InsertionTime=0.338397ns
Candidate ID=12933, InsertionTime=1.02634ns
Candidate ID=15956, InsertionTime=0.158506ns
Candidate ID=18728, InsertionTime=1.09575ns
Candidate ID=16658, InsertionTime=0.858597ns
Candidate ID=12841, InsertionTime=0.555366ns
Candidate ID=47524, InsertionTime=0.721369ns
Candidate ID=33602, InsertionTime=0.296614ns
Candidate ID=3891, InsertionTime=0.674753ns
Candidate ID=28767, InsertionTime=0.566144ns
Candidate ID=36975, InsertionTime=0.618348ns
Candidate ID=40605, InsertionTime=0.794678ns
Candidate ID=30663, InsertionTime=0.604633ns
Candidate ID=37299, InsertionTime=0.886336ns
Candidate ID=47804, InsertionTime=0.592755ns
Candidate ID=50297, InsertionTime=0.522979ns
Candidate ID=34750, InsertionTime=0.724598ns
Candidate ID=34288, InsertionTime=0.740465ns
Candidate ID=42961, InsertionTime=0.861096ns
Candidate ID=28234, InsertionTime=0.05426ns
Candidate ID=37691, InsertionTime=0.778071ns
Candidate ID=11290, InsertionTime=0.156719ns
Candidate ID=19507, InsertionTime=1.06426ns
Candidate ID=18226, InsertionTime=0.998822ns
Candidate ID=2007, InsertionTime=0.270442ns
Candidate ID=43748, InsertionTime=0.417966ns
Candidate ID=51752, InsertionTime=0.370391ns
Candidate ID=3538, InsertionTime=1.21174ns
Candidate ID=50816, InsertionTime=0.117797ns
Candidate ID=8021, InsertionTime=1.14621ns
Candidate ID=36970, InsertionTime=1.14844ns
Candidate ID=9498, InsertionTime=1.18226ns
Candidate ID=35380, InsertionTime=1.16122ns
Candidate ID=29965, InsertionTime=1.04155ns
Candidate ID=44158, InsertionTime=1.17057ns
Candidate ID=15260, InsertionTime=1.04767ns
Candidate ID=13025, InsertionTime=1.07055ns
Candidate ID=51013, InsertionTime=1.04487ns
Candidate ID=19006, InsertionTime=1.04005ns
Candidate ID=2515, InsertionTime=1.60615ns
Candidate ID=19611, InsertionTime=1.60336ns
Candidate ID=39786, InsertionTime=1.06537ns
Candidate ID=24596, InsertionTime=1.37603ns
Candidate ID=20970, InsertionTime=2.13424ns
Candidate ID=34521, InsertionTime=0.819893ns
Candidate ID=7473, InsertionTime=0.523037ns
Candidate ID=42841, InsertionTime=1.54839ns
Candidate ID=34961, InsertionTime=0.214827ns
Candidate ID=29753, InsertionTime=1.53522ns
Candidate ID=37885, InsertionTime=2.54066ns
Candidate ID=18245, InsertionTime=2.24487ns
Candidate ID=14596, InsertionTime=0.188037ns
Candidate ID=847, InsertionTime=2.19289ns
Candidate ID=16294, InsertionTime=2.2588ns
Candidate ID=24052, InsertionTime=1.56029ns
Candidate ID=37240, InsertionTime=0.67224ns
Candidate ID=27431, InsertionTime=1.82651ns
Candidate ID=25925, InsertionTime=2.8473ns
Candidate ID=6881, InsertionTime=2.12997ns
Candidate ID=35062, InsertionTime=3.22128ns
Candidate ID=14355, InsertionTime=2.67932ns
Candidate ID=19762, InsertionTime=2.96142ns
Candidate ID=12876, InsertionTime=2.89296ns
Candidate ID=11601, InsertionTime=2.93837ns
Candidate ID=40631, InsertionTime=2.87939ns
Candidate ID=43014, InsertionTime=2.34081ns
Candidate ID=16267, InsertionTime=0.262834ns
Candidate ID=7333, InsertionTime=2.42792ns
Candidate ID=17039, InsertionTime=3.01297ns
Candidate ID=37564, InsertionTime=2.15745ns
Candidate ID=20151, InsertionTime=2.69556ns
Candidate ID=31692, InsertionTime=2.40175ns
Candidate ID=49187, InsertionTime=3.19562ns
Candidate ID=38789, InsertionTime=4.52782ns
Candidate ID=30957, InsertionTime=3.19995ns
Candidate ID=43135, InsertionTime=3.04072ns
Candidate ID=44198, InsertionTime=2.36372ns
Candidate ID=47184, InsertionTime=3.44089ns
Candidate ID=52145, InsertionTime=2.7427ns
Candidate ID=23593, InsertionTime=3.90846ns
Candidate ID=51113, InsertionTime=2.66454ns
Candidate ID=4169, InsertionTime=2.76068ns
Candidate ID=13783, InsertionTime=2.80194ns
Candidate ID=51883, InsertionTime=2.84417ns
Candidate ID=38768, InsertionTime=2.67733ns
Candidate ID=31971, InsertionTime=3.79863ns
Candidate ID=36031, InsertionTime=2.12513ns
Candidate ID=13299, InsertionTime=0.793937ns
Candidate ID=40087, InsertionTime=2.27189ns
Candidate ID=45261, InsertionTime=2.1556ns
Candidate ID=5672, InsertionTime=2.1639ns
Candidate ID=3383, InsertionTime=0.534514ns
Candidate ID=40580, InsertionTime=2.23468ns
Candidate ID=24876, InsertionTime=2.15017ns
Candidate ID=39270, InsertionTime=0.427974ns
Candidate ID=30058, InsertionTime=0.880508ns
Candidate ID=43664, InsertionTime=2.12386ns
Candidate ID=5317, InsertionTime=1.54374ns
Candidate ID=50558, InsertionTime=0.841389ns
Candidate ID=23305, InsertionTime=1.76284ns
Candidate ID=4128, InsertionTime=2.1607ns
Candidate ID=10247, InsertionTime=3.25685ns
Candidate ID=28456, InsertionTime=2.41275ns
Candidate ID=5287, InsertionTime=1.49973ns
Candidate ID=47794, InsertionTime=0.196657ns
Candidate ID=49974, InsertionTime=1.88992ns
Candidate ID=43984, InsertionTime=1.8425ns
Candidate ID=36302, InsertionTime=2.72941ns
Candidate ID=39807, InsertionTime=1.7882ns
Candidate ID=11019, InsertionTime=1.68304ns
Candidate ID=54186, InsertionTime=1.4652ns
Candidate ID=21216, InsertionTime=1.02032ns
Candidate ID=40984, InsertionTime=3.11276ns
Candidate ID=30046, InsertionTime=0.639227ns
Candidate ID=41631, InsertionTime=0.610674ns
Candidate ID=14773, InsertionTime=1.84414ns
Candidate ID=38938, InsertionTime=0.692506ns
Candidate ID=45823, InsertionTime=0.437939ns
Candidate ID=17755, InsertionTime=1.22522ns
Candidate ID=47214, InsertionTime=2.2197ns
Candidate ID=8351, InsertionTime=1.86966ns
Candidate ID=10109, InsertionTime=1.51205ns
Candidate ID=39312, InsertionTime=2.08595ns
Candidate ID=73, InsertionTime=0.219286ns
Candidate ID=11877, InsertionTime=3.34831ns
Candidate ID=27988, InsertionTime=3.18125ns
Candidate ID=31397, InsertionTime=3.91353ns
Candidate ID=31311, InsertionTime=1.4131ns
Candidate ID=16452, InsertionTime=7.19611ns
Candidate ID=44245, InsertionTime=7.45767ns
Candidate ID=35065, InsertionTime=8.28475ns
Candidate ID=29953, InsertionTime=7.1372ns
Candidate ID=25305, InsertionTime=7.8825ns
Candidate ID=41830, InsertionTime=7.38725ns
Candidate ID=18931, InsertionTime=8.80929ns
Candidate ID=12446, InsertionTime=7.58495ns
Candidate ID=31494, InsertionTime=7.65258ns
Candidate ID=26263, InsertionTime=7.06109ns
Candidate ID=3871, InsertionTime=12.6836ns
Candidate ID=23727, InsertionTime=5.67928ns
Candidate ID=36793, InsertionTime=9.06211ns
Candidate ID=46378, InsertionTime=10.0253ns
Candidate ID=28174, InsertionTime=9.28275ns
Candidate ID=42152, InsertionTime=8.10025ns
Candidate ID=22538, InsertionTime=8.47846ns
Candidate ID=39485, InsertionTime=8.84517ns
Candidate ID=44525, InsertionTime=8.84838ns
Candidate ID=43273, InsertionTime=1.19814ns
Candidate ID=42507, InsertionTime=8.58495ns
Candidate ID=31243, InsertionTime=5.5555ns
Candidate ID=4212, InsertionTime=9.14341ns
Candidate ID=34947, InsertionTime=1.25894ns
Candidate ID=19389, InsertionTime=10.0484ns
Candidate ID=37536, InsertionTime=3.23209ns
Candidate ID=49346, InsertionTime=8.41719ns
Candidate ID=6050, InsertionTime=8.84747ns
Candidate ID=52060, InsertionTime=8.84985ns
Candidate ID=26481, InsertionTime=0.092759ns
Candidate ID=18435, InsertionTime=0.113727ns
Candidate ID=5775, InsertionTime=0.09654ns
Candidate ID=19667, InsertionTime=0.079512ns
Candidate ID=53222, InsertionTime=0.087851ns
Candidate ID=39671, InsertionTime=0.123094ns
Candidate ID=7943, InsertionTime=0.090802ns
Candidate ID=30845, InsertionTime=0.093763ns
Candidate ID=28338, InsertionTime=0.103011ns
Candidate ID=1996, InsertionTime=9.60298ns
Candidate ID=40193, InsertionTime=9.16854ns
Candidate ID=54080, InsertionTime=0.136381ns
Candidate ID=44283, InsertionTime=10.5893ns
Candidate ID=47281, InsertionTime=4.71702ns
Candidate ID=16274, InsertionTime=9.61224ns
Candidate ID=44156, InsertionTime=1.3293ns
Candidate ID=25102, InsertionTime=9.52608ns
Candidate ID=51749, InsertionTime=9.35614ns
Candidate ID=38830, InsertionTime=8.81574ns
Candidate ID=40238, InsertionTime=2.49268ns
Candidate ID=8143, InsertionTime=5.81907ns
Candidate ID=48224, InsertionTime=0.283493ns
Candidate ID=33722, InsertionTime=2.11933ns
Candidate ID=33545, InsertionTime=6.53401ns
Candidate ID=51988, InsertionTime=12.4205ns
Candidate ID=9713, InsertionTime=0.487754ns
Candidate ID=51872, InsertionTime=0.281498ns
Candidate ID=14311, InsertionTime=11.7106ns
Candidate ID=23481, InsertionTime=0.287921ns
Candidate ID=8387, InsertionTime=10.4323ns
Candidate ID=6934, InsertionTime=0.193019ns
Candidate ID=36523, InsertionTime=0.374269ns
Candidate ID=7415, InsertionTime=0.398465ns
Candidate ID=23929, InsertionTime=10.3552ns
Candidate ID=8539, InsertionTime=0.110916ns
Candidate ID=52057, InsertionTime=10.4262ns
Candidate ID=53262, InsertionTime=0.122046ns
Candidate ID=25570, InsertionTime=10.2991ns
Candidate ID=11925, InsertionTime=12.1316ns
Candidate ID=30882, InsertionTime=10.5979ns
Candidate ID=22377, InsertionTime=10.425ns
Candidate ID=34092, InsertionTime=10.5832ns
Candidate ID=36623, InsertionTime=0.359414ns
Candidate ID=17842, InsertionTime=0.395768ns
Candidate ID=284, InsertionTime=0.227075ns
Candidate ID=49678, InsertionTime=12.3717ns
Candidate ID=332, InsertionTime=10.7087ns
Candidate ID=22126, InsertionTime=10.9785ns
Candidate ID=20276, InsertionTime=0.106742ns
Candidate ID=69, InsertionTime=0.205981ns
Candidate ID=14719, InsertionTime=0.128114ns
Candidate ID=49353, InsertionTime=0.114917ns
Candidate ID=12203, InsertionTime=7.10939ns
Candidate ID=18700, InsertionTime=0.128391ns
Candidate ID=27669, InsertionTime=5.78566ns
Candidate ID=24919, InsertionTime=6.96056ns
Candidate ID=35985, InsertionTime=0.129143ns
Candidate ID=46876, InsertionTime=0.114963ns
Candidate ID=22721, InsertionTime=8.76927ns
Candidate ID=50471, InsertionTime=9.08007ns
Candidate ID=33328, InsertionTime=0.119404ns
Candidate ID=18121, InsertionTime=0.133731ns
Candidate ID=18897, InsertionTime=0.459848ns
Candidate ID=1047, InsertionTime=7.23898ns
Candidate ID=53844, InsertionTime=10.2601ns
Candidate ID=49358, InsertionTime=6.09457ns
Candidate ID=1270, InsertionTime=0.143449ns
Candidate ID=38950, InsertionTime=0.153029ns
Candidate ID=41227, InsertionTime=9.30044ns
Candidate ID=34668, InsertionTime=4.97228ns
Candidate ID=48409, InsertionTime=7.51881ns
Candidate ID=41633, InsertionTime=8.38567ns
Candidate ID=48892, InsertionTime=0.392142ns
